Concat,Provider,Service,Ithrive,Description,Referral Process,Weblinks,Available for,Support Category,Age range,School Service,Referrer,Source,Reviewed?
National resource: Help is at hand ,National resource,Help is at hand ,advice & signposting,"Support Guide after someone may have died by suicide. To help families, friends and loved ones.",,https://supportaftersuicide.org.uk/resource/help-is-at-hand/,All,Bereavement,All ages,N,No referral required,Recommended by Public Health England,y-Diane
National resource: Hope Again,National resource,Hope Again,advice & signposting,The youth website of Cruse Bereavement Care. They provide advice for any young person dealing with the loss of a loved one,Phone: 0808 808 1677,https://www.cruse.org.uk/get-help/for-parents,All,Bereavement,All ages,N,No referral required,DFE/Recommended by DfE,y-Diane
National resource: Hub of Hope,National resource,Hub of Hope,Advice & Signposting,an online database of mental health services which can be filtered to your local area and needs,,http://www.hubofhope.co.uk,All,Anxiety/Depression/Low mood,All ages,N,No referral required,recommended by Sara Moreland,y-Diane
National resource: IAPT,National resource,IAPT,"Getting Help
(goals based)","If you live in England and are aged 18 or over, you can access NHS psychological therapies (IAPT) services.

A GP can refer you, or you can refer yourself directly without a referral.

IAPT (Improving Access to Psychological Therapies) services offer:
talking therapies, such as cognitive behavioural therapy (CBT), counselling, other therapies, and guided self-help
help for common mental health problems, like anxiety and depression",,https://www.nhs.uk/service-search/find-a-psychological-therapies-service/,Age 18+,Anxiety/Depression/Low mood; Behaviour,Post 16,N,Self/Professional referral,NHS,y-Diane
National resource: karma nivarna,National resource,karma nivarna,advice & signposting,"supports victims of honour-based abuse and forced marriage through a national helpline 0800 5999 247, offers training to professionals, and works with the Police, NHS, Social Services, local government and teachers.", 0800 5999 247,https://karmanirvana.org.uk/,All,Cultural Identity & Migration Support; Trauma/Victim support,All ages,N,Self Referral,reccomended by domestic abuse referral guide,y-Diane
National resource: Kidscape: Bullying,National resource,Kidscape: Bullying,advice & signposting,advice and practical tips to support adults working with children on dealing with bullying and cyberbullying,,https://www.kidscape.org.uk/advice/advice-for-adults-working-with-children/,All,Bullying,All ages,N,No referral required,DFE/Recommended by DfE,y-Diane
National resource: Living Warriors,National resource,Living Warriors,Advice & Signposting,There is always hope. Each Living Warriors film tells the story of theroad to recovery from the darkest points,"No referral process, information and advice",https://www.livingwarriorsfilms.com/,All,Anxiety/Depression/Low mood; Suicide support and suicide bereavement; Self harm,All ages,N,No referral required,ch team SH PowerPoint,y-Diane
National resource: Losing your partner or child NHS support services list,National resource,Losing your partner or child NHS support services list,advice & signposting,"The NHS has compiled a useful list of support services and help when a child dies, including remembering your child, bereaved siblings, talking about grief and if your partner die.",,https://www.nhs.uk/conditions/baby/support-and-services/losing-your-partner-or-child-in-pregnancy/,All,Bereavement; Family Support,All ages,N,No referral required,NHS,y-Diane
National Resource: Mental Health Foundation,National Resource,Mental Health Foundation,Advice & Signposting,"Find out what self-harm is, why people self-harm and how to get supportsupport others who do self-harm.","No referral process, information and advice",https://www.mentalhealth.org.uk/explore-mental-health/a-z-topics/self-harm,All,Self harm,All ages,N,No referral required,ch team SH PowerPoint,y-Diane
National resource: Mentally Healthy Schools,National resource,Mentally Healthy Schools,Thriving,"Mentally Healthy Schools brings together quality-assured mental health resources, information  advice for schools and further education settings",,https://www.mentallyhealthyschools.org.uk/,All,Anxiety/Depression/Low mood; Behaviour; Bullying; Wellbeing,All ages,Y,No referral required,DFE/Recommended by DfE,y-Diane
National resource: MH Autism,National resource,MH Autism,Advice & Signposting,"Mental Health in Autism (MHAutism) is a research group exploring the challenges autistic adults face in relation to mental health problems, self-injury, and suicidality. The Mental Health in Autism project has produced a simple suicidal behaviours questionnaire to better identify suicidal thoughts and behaviours in autistic people in research studies, (it is not validated for use in clinical settings). They have also produced a guide for GPs on mental health and autism and a safety plan. See website for access.",No referral process,https://sites.google.com/view/mentalhealthinautism,All,Special Educational Needs and Disability/ Autism/ADHD,All ages,N,No referral required,K&m Suicide autism & suicide doc,y-Diane
National resource: Mind,National resource,Mind,Advice & Signposting,"Explains self-harm, including possible causes and how you can access treatment and support. Includes tips for helping yourself, and guidance for friends and family.","No referral process, information and advice",https://www.mind.org.uk/information-support/types-of-mental-health-problems/self-harm/treatment-and-support/,Under 18,Anxiety/Depression/Low mood; Self harm,"Primary school age, Secondary School age and post 16",N,No referral required,work with NHS regularly and in SH guidance,y-Diane
National resource: MindEd,National resource,MindEd,Thriving,"a free educational resource from Health Education England on children and young people's mental health. The resource provides knowledge to support wellbeing, understanding to identify a child at risk of a mental health condition and confidence to act on concerns and signpost to services where needed. Now includes a Coronavirus Staff Resilience Hub with materials on peer support, stress, fear and trauma and bereavement.",,https://mindedhub.org.uk/,Professionals & families,Anxiety/Depression/Low mood; Trauma/Victim support; Wellbeing; Eating Disorder,All ages,N,No referral required,NHS,y-Diane
National resource: NAS,National resource,NAS,advice & signposting,"The UKs leading charity for autistic people and their families. Since 1962, they have been providing support, guidance and advice, as well as campaigning for improved rights, services and opportunities to help create a society that works for autistic people. Including a service directory and various support helplines.",,https://www.autism.org.uk,All,Special Educational Needs and Disability/ Autism/ADHD,All ages,N,No referral required,national,y-Diane
National resource: National Autistic Trust,National resource,National Autistic Trust,Advice & Signposting,"The National Autistic Society have provided some advice and guidance on a range of topics in relation to autism, including suicide.",No referral process,https://www.autism.org.uk/,All,Special Educational Needs and Disability/ Autism/ADHD,All ages,N,No referral required,K&m Suicide autism & suicide doc,y-Diane
National resource: National Centre for eating disorders,National resource,National Centre for eating disorders,advice & signposting,"Provides information and support for people with eating disorders, and their  families and carers.",,https://eating-disorders.org.uk/,All,Eating Disorder; Family Support,All ages,N,No referral required,NHS recommended,y-Diane
National resource: National Debtline,National resource,National Debtline,advice & signposting,Free and independent debt advice over the phone and online,0808 808 4000,https://www.nationaldebtline.org/,All,"Homelessness, finance, employment",All ages,N,Self Referral,everyday mental health training,y-Diane
National resource: National self-harm network forum,National resource,National self-harm network forum,advice & signposting,"Support individuals who self-harm to reduce emotional distress and improve their quality of life. Support and provide information for family and carers of individuals who self-harm. Raise awareness of the needs of people who self-harm, dispel myths and combat discrimination",,https://www.nshn.co.uk/,All,Self harm,All ages,N,No referral required,YMHFA Manual,y-Diane
National resource: Now and beyond,National resource,Now and beyond,advice & signposting,The UK's first multidisciplinary directory for children and young people's mental health and wellbeing providers. Includes information about locally available services.,,https://nowandbeyond.org.uk/,All,"Anxiety/Depression/Low mood; LGBTQIA+; Special Educational Needs and Disability/ Autism/ADHD; Bullying; Trauma/Victim support; Health; Behaviour; Homelessness, finance, employment; Self harm; Cultural Identity & Migration Support; Eating Disorder; Bereavement; Wellbeing",All ages,N,No referral required,DFE/Recommended by DfE,y-Diane
National resource: NSPCC,National resource,NSPCC,Advice & Signposting,"Provides help, advice and support to adults worried about a child.",,https://www.nspcc.org.uk,All,Wellbeing; Family Support,All ages,N,No referral required,NSPCC,y-Diane
National resource: NSPCC Domestic Abuse Recovering Together,National resource,NSPCC Domestic Abuse Recovering Together,"Getting Help
(goals based)",NSPCC group work programme (DART) helps children and mothers after domestic abuse. They learn to communicate and rebuild their relationship by taking to each other about domestic abuse.,Referrals are made through children�s centre and early help. The service is for mothers and children aged 7-14 year olds to improve their outcomes following domestic abuse.,https://learning.nspcc.org.uk/services-children-families/dart ,Ages 7-14,Anxiety/Depression/Low mood; Family Support; Wellbeing,Primary school age and Secondary School age,N,Professional referral,NSPCC,y-Diane
National resource: Oasis Domestic Abuse Service,National resource,Oasis Domestic Abuse Service,"Getting Help
(goals based)","Provides a safe 1-2-1 mentoring, private, and non-judgmental space for 7  18-year-olds affected by domestic abuseto explore their experiences and build trust and confidence.","If you are a professional working with someone who is experiencing domestic abuse, you can make a referral to the specialist support services on their website.",https://www.oasisdaservice.org/services/children-and-young-people/,Ages 7-18,Anxiety/Depression/Low mood; Wellbeing,Primary school age and Secondary School age,N,Self/Professional referral,Commissioned,y-Diane
National resource: Oliver McGowan Training,National resource,Oliver McGowan Training,Thriving,A resource to support health and social care staff to receive learning disability and autism training at the right level for their role,,https://lscjtp.org.uk/oliver-mcgowan-mandatory-training-in-learning-disability-and-autism/,All,Eating Disorder; Special Educational Needs and Disability/ Autism/ADHD,All ages,N,No referral required,National,y-Diane
National resource: Our Frontline,National resource,Our Frontline,advice & signposting,"Our Frontline is a partnership between Shout, Samaritans, Mind, Hospice UK and The Royal Foundation of the Duke and Duchess of Cambridge.  They have a number of resources to support those working in health, social care, education and other front line roles.",,https://www.mentalhealthatwork.org.uk/ourfrontline/,Professionals,Wellbeing,All ages,N,No referral required,partnership with companies we have previously commissioned/worked with,y-Diane
National resource: Papyrus,National resource,Papyrus,Advice & Signposting,"Charity dedicated to the prevention of young suicide. Providing confidential support and advice to CYP or those worried about a CYP through their helpline (hopelineuk), engaging communities and volunteers in suicide prevention projects and training programmes and influencing national social policy and contribute to localregional implementation of national suicide prevention strategies.",see website or call hopeline uk 08000684141,http://www.papyrus.org.uk,All,Anxiety/Depression/Low mood,All ages,N,Self/Professional referral,DFE/Recommended by DfE,y-Diane
National resource: Pathway for Eating Disorder & Autism (P.E.A.C.E),National resource,Pathway for Eating Disorder & Autism (P.E.A.C.E),advice & signposting,"The Pathway for Eating Disorder and Autism Developed from Clinical Experience (P.E.A.C.E) provides a resource for:
 Individuals with an eating disorder and autism
 Carers
 Clinicians",,https://www.peacepathway.org/,All,Eating Disorder; Special Educational Needs and Disability/ Autism/ADHD,All ages,N,No referral required,NHS recommended,y-Diane
National resource: PHE School Zone,National resource,PHE School Zone,thriving,"Resources for school staff to help teach PSHE, RHE and RSHE to Upper KS2, KS3 and KS4 students, with flexible, ready-to-use content co-created with teachers, and young people. Topics include self care, physical and mental wellbeing, unhelpful thoughts, building connections, worry, social media, sleep, dealing with change, transition to secondary school, puberty, bullying and cyberbullying, online stress and FOMO, alcohol, exam stress, body image in a digital world and forming positive relationships",,https://campaignresources.phe.gov.uk/schools/topics/mental-wellbeing/overview,Professionals,"Anxiety/Depression/Low mood; LGBTQIA+; Special Educational Needs and Disability/ Autism/ADHD; Bullying; Trauma/Victim support; Health; Behaviour; Homelessness, finance, employment; Self harm; Cultural Identity & Migration Support; Eating Disorder; Wellbeing",All ages,Y,No referral required,DFE/Recommended by DfE,y-Diane
National resource: Place 2 be parenting smart,National resource,Place 2 be parenting smart,Advice & Signposting,Practical tips for parents to support childrens wellbeing and behaviour,,https://parentingsmart.place2be.org.uk/,All,LGBTQIA+; Bullying; Behaviour; Anxiety/Depression/Low mood; Cultural Identity & Migration Support; Eating Disorder; Bereavement; Family Support; Health; Wellbeing; Online safety,All ages,N,No referral required,DFE/Recommended by DfE,y-Diane
National resource: Preventing and tackling bullying advice,National resource,Preventing and tackling bullying advice,Thriving,Advice for preventing and tackling bullying within schools,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1069688/Preventing_and_tackling_bullying_advice.pdf,All,Bullying,All ages,Y,No referral required,DFE/Recommended by DfE,y-Diane
National resource: Prisoners family helpline,National resource,Prisoners family helpline,advice & signposting,"can support a family member is in contact with the criminal justice system. Providing advice and information on all aspects from what happens on arrest, visiting a prison to preparing for release.",0808 808 2003,https://www.prisonersfamilies.org/,All,Family Support,All ages,N,Self Referral,Reccomended by gov on prisoners site,y-Diane
National resource: promoting health and wellbeing of children in care,National resource,promoting health and wellbeing of children in care,Thriving,"Statutory guidance on the planning, commissioning and delivery of health services for looked-after children.",,https://www.gov.uk/government/publications/promoting-the-health-and-wellbeing-of-looked-after-children--2,All,Anxiety/Depression/Low mood; Wellbeing; Social Care,All ages,N,No referral required,government site,y-Diane
National resource: Protection against stalking (PAS),National resource,Protection against stalking (PAS),advice & signposting,Protection Against Stalking is committed to raising awareness of stalking and supporting victims and their families. They also run a monthly cyber stalking clinic.,support@protectionagainststalking.org,https://www.protectionagainststalking.org/,All,Trauma/Victim support,All ages,N,Self Referral,recommended by police,y-Diane
National resource: PSHE Association,National resource,PSHE Association,Thriving,Resources for schools around PSHE topics,,https://pshe-association.org.uk/search?queryTerm=emotional%20wellbeing,All,"Anxiety/Depression/Low mood; LGBTQIA+; Special Educational Needs and Disability/ Autism/ADHD; Bullying; Trauma/Victim support; Health; Behaviour; Homelessness, finance, employment; Self harm;  Cultural Identity & Migration Support; Eating Disorder; Bereavement; Wellbeing",All ages,Y,No referral required,DFE/Recommended by DfE,y-Diane
National resource: Psychological first aid training,National resource,Psychological first aid training,Thriving,Psychological first aid training course for those supporting children and young people,,https://www.futurelearn.com/courses/psychological-first-aid-for-children-and-young-people,All,Wellbeing,All ages,N,No referral required,recommended by dfe,y-Diane
National resource: Respect Helpline,National resource,Respect Helpline,advice & signposting,"a confidential helpline (open Monday to Friday from 9am until 5pm) offering advice, information and support to help for perpetrators. Trained advisors help and advise; Men who abuse their female partners (straight or bi), Men who abuse their male partners (gay or bi), Women who abuse their partners, Frontline workers working with domestic violence perpetrators",0808 802 4040,https://respectphoneline.org.uk/,All,Trauma/Victim support; behaviour; LGBTQIA+,All ages,N,Self Referral,PHCH- Medway Care leavers services and information guide,y-Diane
National resource: Rethink Sahayak,National resource,Rethink Sahayak,"Getting Help
(goals based)","Rethink Sahayak specialises in BAME (black, Asian  minority ethnic) mental health and can offer you culturally sensitive support on a range of issues including isolation, housing issues, domestic abuse  honour-based violence and social issues.","Contact Sahayak on 01474 364837 / 01474 364498 or email
Asian mental health helpline where you can speak to advisers in Asian languages (Gujarati, Punjabi, Hindu, and Urdu) or in English on 0808 800 2073 at these times:
Mondays and Wednesdays 4pm to 7pm
Tuesdays and Thursdays 12pm to 3pm",https://www.rethink.org/help-in-your-area/services/advice-and-helplines/rethink-sahayak-asian-mental-health-helpline/,All,"Cultural Identity & Migration Support; Anxiety/Depression/Low mood; Bullying; Homelessness, finance, employment; Trauma/Victim support",All ages,N,Self Referral,YMHFA Manual,y-Diane
National resource: SALUS,National resource,SALUS,"Getting Help
(goals based)","Salus recognises that all children and young people are different and, for any number of reasons, may need support to deal with the challenges they face to ensure they can achieve their potential. We know that families, teachers, youth workers and other practitioners do an amazing job in offering support but may sometimes need some help to do this. At times, a child or young person may benefit from some more specialist or focused support.

Salus offer a diverse range of programmes to support the needs of children and young people. This can be in school, the community or at home.

We know that families, teachers, youth workers and other practitioners do an amazing job in offering support but may sometimes need some help to do this. At times, a child or young person may benefit from some more specialist or focused support.

Salus offer a diverse range of programmes to support the needs of children and young people. This can be in school, the community or at home.",,https://salusgroup.org.uk/,All,Anxiety/Depression/Low mood; Bullying; Wellbeing; Trauma/Victim support,All ages,N,Self/Professional referral,Commissioned by TIFSS and approved by the group,y-Diane
National resource: Salus Domestic abuse,National resource,Salus Domestic abuse,"Getting Help
(goals based)",Domestic Abuse and resilience programme for CYP aged 5-16 whose well-being has been negatively impacted as a result of domestic abuse and where there are concerns about the future.,Email:�info@salusgroup.org.uk,https://salusgroup.org.uk/service/domestic-abuse ,All,Trauma/Victim support,All ages,Y,Self/Professional referral,commissioned,y-Diane
National resource: Samaritans,National resource,Samaritans,Advice & Signposting,"Whatever you're going through, a Samaritan will face it with you. We're here 24 hours a day, 365 days a year. We offer a safe place for you to talk any time you like, in your own way  about whatevers getting to you. Samaritans can also provide school visits to give a talk to children and young people, online resource for Developing Emotional Awareness and Listening","call 116 123, email jo@samaritans.org or visit https://www.samaritans.org/how-we-can-help/contact-samaritan/",,All,Anxiety/Depression/Low mood,All ages,N,Self Referral,DFE/Recommended by DfE,y-Diane
"National resource: see, hear, respond hub",National resource,"see, hear, respond hub",Advice & Signposting,"operated by Barnardo's is a central place for to explore, where you can find information, resources  tools - from practical advice for parents on how to talk to their children about the pandemic, to tips on managing anxiety and much more.",,https://www.barnardos.org.uk/barnardos-covid-19-support-hub,All,Family Support; Anxiety/Depression/Low mood,All ages,N,No referral required,reptuable provider,y-Diane
National resource: Self Heal,National resource,Self Heal,Advice & Signposting,"A free App to help with the management of self-harm. Includes distraction task suggestions, useful contacts, information on self-harm and a gallery of inspirational images.","No referral process, information and advice",https://www.bps.org.uk/psychologist/apps-teenagers-who-are-self-harming?showmobilesite=true,All,Wellbeing,All ages,N,Self Referral,listed on BPS & ch team SH PowerPoint,y-Diane
National resource: SEND Gateway,National resource,SEND Gateway,thriving,"The SEND Gateway is a good source of information for professionals, containing resources on responding appropriately to children and young people with SEND with emotional wellbeing needs.",,https://www.sendgateway.org.uk/,All,Special Educational Needs and Disability/ Autism/ADHD,All ages,N,No referral required,DFE/Recommended by DfE,y-Diane
National Resource: SMART Recovery ,National Resource,SMART Recovery ,"Getting Help
(goals based)","Mutual support for anyone seeking science-based, self empowered addiction recovery.","No referral process, book meetings on website",https://www.smartrecovery.org,18 and over,Wellbeing; Health,Post 16,N,Self Referral,tonic signposting document,y-Diane
National resource: Square peg,National resource,Square peg,Thriving,Resources for supporting children struggling to attend school,,https://www.teamsquarepeg.org/,All,Anxiety/Depression/Low mood; Behaviour; Wellbeing,All ages,Y,No referral required,EBSA training,y-Diane
National resource: stay alive ,National resource,stay alive ,Advice & Signposting,"This is a free app that offers help and support to people concerned about someone else. The app offers quick access to uk national crisis support helpline a mini safety plan, a life box where the user can upload photos from there phone reminding them of their reason to stay alive, strategies for staying safe, tips on how to help a person thinking about suicide and suicide bereavement resources.",see weblink,https://www.stayalive.app/,All,Suicide support and suicide bereavement,All ages,N,Self Referral,YMHFA Manual,y-Diane
National resource: Stem 4,National resource,Stem 4,Advice & Signposting,A charity which promotes positive mental health in teenagers and those who support them,,http://www.stem4.org.uk,All,Anxiety/Depression/Low mood; Wellbeing,All ages,N,No referral required,YMHFA Manual,y-Diane
National resource: Student minds,National resource,Student minds,Advice & Signposting,"Empowering you to develop the knowledge, confidence and skills to look after your own mental health and support others.",,https://www.studentminds.org.uk/,Aged 16+,Anxiety/Depression/Low mood; Wellbeing,Post 16,N,No referral required,YMHFA Manual,y-Diane
National resource: Student nightline,National resource,Student nightline,Advice & Signposting,"A listening, emotional support and information service, run by students for students",,https://www.nightline.ac.uk/,Aged 16+,Anxiety/Depression/Low mood; Wellbeing,Post 16,N,No referral required,ICB z-card,y-Diane
National resource: Student Space,National resource,Student Space,Advice & Signposting,"offers one-to-one support for whatever challenge youre facing, whether its your mental health, studies, money, housing or relationships.",,https://studentspace.org.uk/,Aged 16+,"Anxiety/Depression/Low mood; Homelessness, finance, employment",Post 16,N,No referral required,DFE/Recommended by DfE,y-Diane
National resource: Sue Ryder Childhood Bereavement Network,National resource,Sue Ryder Childhood Bereavement Network,Advice & Signposting,"Advice and resources on how to provide the best support to someone you know who is bereaved, and information and guidance for people who are struggling with their own grief.",,https://www.sueryder.org/how-we-can-help,18+,Bereavement,All ages,N,No referral required,PHCH- Medway Care leavers services and information guide,y-Diane
National resource: Teaching about mental wellbeing,National resource,Teaching about mental wellbeing,Thriving,Practical materials for primary and secondary schools to use to train staff about teaching mental wellbeing.,,https://www.gov.uk/guidance/teaching-about-mental-wellbeing,All,Wellbeing,All ages,Y,No referral required,DFE/Recommended by DfE,y-Diane
National resource: Teen Sleep Hub,National resource,Teen Sleep Hub,advice & signposting,"Offers advice, support and tips on achieving a good nights sleep. They have information and resources for secondary schools, teens and young people and parents and carers.",,https://teensleephub.org.uk/,Age 11-16,Behaviour; Family Support; Health,Secondary School Age (11-16),N,No referral required,DFE/Recommended by DfE,y-Diane
National resource: the autism apprentice,National resource,the autism apprentice,Advice & Signposting,"work with families who have a young person with SEND, specialising in autism spectrum conditions, attention deficit hyperactivity disorder and associated co-morbid conditions. The aims of this project are to support those families who do not yet have a formal diagnosis but the parentcarer or educational setting have observed traits and have highlighted concerns. They offer a private consultancy service, please contact them directly for further information.",Tel: 03000 110 300 or email info@autismapprentice.co.uk,https://www.autismapprentice.co.uk/,All,Special Educational Needs and Disability/ Autism/ADHD,All ages,N,Self Referral,K&m Suicide autism & suicide doc,y-Diane
National resource: The Good Grief Trust ,National resource,The Good Grief Trust ,Advice & Signposting,"The Good Grief Trustexists to help all those affected by grief in the UK. The Trust helps those bereaved from day one, acknowledges their grief and provides reassurance, a virtual hand of friendship and ongoing support.",Find support section on website ,https://www.thegoodgrieftrust.org/,All,Bereavement,All ages,N,No referral required,NHS recommended,y-Diane
National resource: The Mix,National resource,The Mix,"Getting Help
(goals based)","Can help you take on any challenge youre facing. From Mental health to money, homelessness to finding a job or relationship or family break-ups to
drugs. Talk to them via the online community, social media, free, confidential helpline (0808 808 4994 ) or counselling service.",call 08088084994,https://www.themix.org.uk,Under 25 years old,"Anxiety/Depression/Low mood; Homelessness, finance, employment",All ages,N,Self Referral,DFE/Recommended by DfE,y-Diane
National resource: The WorryBox,National resource,The WorryBox,Advice & Signposting,This app helps you to manage your worries. For age 4-11 years. (Search your Apple or Google Play store to download.),No referral needed,https://www.worryboxapp.com/,4-11 years ,Anxiety/Depression/Low mood,Primary School age (5-11 years old),N,No referral required,Recommended by CAMHS,y-Diane
National resource: Think Ninja,National resource,Think Ninja,advice & signposting,"An app which educates children and young people about mental health, emotional wellbeing and provide skills young people can use to build resilience and stay 
well.",,https://apps.apple.com/gb/app/thinkninja/id1425884328,Age 10-18,Anxiety/Depression/Low mood; Wellbeing,"Primary school age, Secondary School age and post 16 ",N,No referral required,DFE/Recommended by DfE,y-Diane
National resource: Togetherall,National resource,Togetherall,advice & signposting,offers an online community for YP 16-18 in need of mental health support. Includes self assessments and recommended resources and self guided courses. Previously known as big white wall,,https://www.togetherall.co.uk,Aged 16-18,Anxiety/Depression/Low mood; Wellbeing,Post 16,N,No referral required,NHS,y-Diane
national resource: Trans Voices,national resource,Trans Voices,Thriving,Trans Voices is the UKs first professional trans choir,,https://www.transvoices.co.uk/,Transgender individuals,LGBTQIA+,All ages,N,Self Referral,Lottery funded and supported by Arts council England,y-Diane
National resource: UK Trauma Council,National resource,UK Trauma Council,advice & signposting,"A free  evidence based resource for school staff, bereavement services and NHS mental health services to help identify and support children and young people who are experiencing a traumatic bereavement. 
 
Traumatic bereavement may be easily missed or misunderstood, meaning that childrens difficulties are not recognised. It is vital that these children are identified and given appropriate help and support.",,https://uktraumacouncil.org/resources/traumatic-bereavement,All,Bereavement,All ages,Y,No referral required,hosted by anna Freud,y-Diane
National resource: Unlock Wellbeing,National resource,Unlock Wellbeing,"Getting Help
(goals based)","University of Bath, funded by NIHR have developed 3 research studies for children and young people, providing free and easy to access single session support interventions on the new platform ""unlock wellbeing"" . Take a look at their site to find out how children and young people can take part and how it can support them;
Project Y.E.S; Youth Empowerment Support for low mood or a wellbeing boost age 13-25.
Project Sleep; age 13-25 support to improve sleep
Project Body Neutrality UK; age 13-21 support to help young people develop better relationships with their body image.",access via weblink,https://unlockwellbeing.org.uk/young-people/take-part-in-a-study/,All,Health; Anxiety/Depression/Low mood; Wellbeing,All ages,N,Self Referral,reccomended by NELFT,y-Diane
National resource: Victim Support,National resource,Victim Support,"Getting Help
(goals based)","Victim Support's youth programme which helps children and young people cope with the impact and effects of crime. Young people do not have to report a crime to get support from us. Victim Support also provide a free service for children, young people and their parents to help support children who've been affected by crime.",,https://www.victimsupport.org.uk,All,Trauma/Victim support,All ages,N,No referral required,PHCH- Medway Care leavers services and information guide,y-Diane
National resource: We can talk,National resource,We can talk,Thriving,"Support to increase knowledge, confidence and skill in supporting children and young peoples mental health. 
 It utilises a co-produced (with hospital staff, young people and mental health experts) evidence-based education framework to give all staff who see children and young people the core competencies to support their mental health needs.
 We Can Talk is suitable for anyone who encounters children and young people in an acute hospital setting including nurses, HCAs, doctors, students, trainees and non-clinical staff.",,https://wecantalk.online/,All,Eating Disorder,All ages,N,No referral required,NHS recommended,y-Diane
National resource: WhatsUp? � App,National resource,WhatsUp? � App,Thriving,"WhatsUp? provides daily tools that promote positive mental health and wellbeing for everyone in your organisation. Secure, confidential and non-judgmental it allows your wellbeing department to instantly support those that need help most",,https://www.thewhatsupapp.co.uk/,18 and over,Wellbeing,Post 16,N,No referral required,ch team SH PowerPoint,y-Diane
National resource: Whole School Approach,National resource,Whole School Approach,Thriving,"A whole-school approach involves all parts of the school working together and being committed. It needs partnership working between senior leaders, teachers and all school staff, as well as parents, carers and the wider community.",,https://www.annafreud.org/news/framework-launched-to-support-schools-to-develop-whole-school-approach-to-mental-health/,Schools,Wellbeing,All ages,Y,No referral required,DFE/Recommended by DfE,y-Diane
National resource: Winston's wish,National resource,Winston's wish,Advice & Signposting,Support for families bereaved by and dealing with loss from suicide,Helpline 08088020021,https://www.winstonswish.org/death-through-suicide/,All,Bereavement,All ages,N,Self Referral,Approved by the group and recommended by public health England,y-Diane
National resource: Young Minds � Professionals,National resource,Young Minds � Professionals,Advice & Signposting,"The young minds resource library is full of toolkits, publications, reports and policy information about CYPs mental health. Training and consultancy is available for schools.  CYPs pages contain information on getting urgent help, medication, specific conditions and looking after yourself.","No referral process, book training on website",https://www.youngminds.org.uk/professional/,All,Anxiety/Depression/Low mood; Wellbeing,All ages,Y,No referral required,DFE/Recommended by DfE,y-Diane
National resource: Young minds-Parent,National resource,Young minds-Parent,Advice & Signposting,"The young minds resource library is full of toolkits, publications, reports and policy information about CYPs mental health.  Various pages available for both parents and children and young people containing information on getting urgent help, medication, specific conditions and looking after yourself and a parent helpline.",parent helpline Monday to Friday 9.30pm - 4pm 0808 802 5544,https://www.youngminds.org.uk/parent/parents-a-z-mental-health-guide/self-harm/,All,Anxiety/Depression/Low mood; Family Support; Wellbeing,All ages,N,Self Referral,DFE/Recommended by DfE,y-Diane
National resource: Youth Access,National resource,Youth Access,"Getting Help
(goals based)","Counselling, advice and information services for young people",,https://www.youthaccess.org.uk/,All,Anxiety/Depression/Low mood,All ages,N,No referral required,DFE/Recommended by DfE,y-Diane
National resource: Zero Suicide Alliance,National resource,Zero Suicide Alliance,Advice & Signposting,"The Zero Suicide Alliance have produced a free, online Autism and Suicide Awareness training session co-produced with the autistic community.",No referral process,https://www.zerosuicidealliance.com/autism-suicide-training,All,Special Educational Needs and Disability/ Autism/ADHD; Suicide support and suicide bereavement,All ages,N,No referral required,K&m Suicide autism & suicide doc,y-Diane
National resource : Little troopers therapy programme ,National resource ,Little troopers therapy programme ,Advice & Signposting,Little troopers therapy programme offers one to one psychotherapy sessions and community therapy groups for those whose parents serve in the British armed forces These sessions are focused on  supporting children who feel particularly impacted specifically by the challenges that military life can bring such as a parent being deployed or moving schools or homes frequently.,info@littletroopers.net,https://www.littletroopers.net/,Under 18s ,Armed forces,"Primary school age, Secondary School age and post 16",N,,reccomended by space matters newsletter,y-Diane
National resource : No Panic ,National resource ,No Panic ,Advice & Signposting,"No panic is a charity which helps people who suffer from panic attacks, phobias, obsessive compulsive disorders and other related disorders including those people who are trying to give up tranquillizers",,https://www.nopanic.org.uk,All,Anxiety/Depression/Low mood; Wellbeing,All ages,N,No referral required,YMHFA Manual,y-Diane
National resource : OCD action,National resource ,OCD action,Advice & Signposting,Information and support for obsessive compulsive disorders (OCD) and other related disorders including body dysmorphic disorders (BDD) skin picking (CSP) trichotillomania (TTM) compulsive hair pulling,Support@ocdaction.org.uk ,https://www.ocdaction.org.uk ,All,"Diagnosed mental health e.g. OCD, Psychosis, Personality Disorder",All ages,N,Self Referral,YMHFA Manual,y-Diane
National resource : Parental Education Growth Support - PEGS ,National resource ,Parental Education Growth Support - PEGS ,Advice & Signposting,"PEGS is a social enterprise set up to support parents, carers and guardians who are experiencing Child to Parent Abuse (including those with adult offspring). They offer group workshops as well as some 1-1 work.","hello@pegsupport.com, Referral form on website � parents can self-refer or professional can do it on their behalf. ",https://www.pegsupport.co.uk/,Parents,Family Support; Trauma/Victim support,All ages,N,Self/Professional referral,recommended by DSS,y-Diane
